Database Identifier,Institution,Mother Institution,State,Priority (1-4),"Type (Any Teaching 1, Pure Research 2, Government 3)",Divisions (Official Names separated by commas),"Private 1, Public 0, Mix 2, Unknown 3",COI,Year Founded,Students,Endowment (Millions),Operating Budget (Millions),Policy Different Between Schools? (Yes 1/No 0/Unknown 2),Link to the Policy?,Umbrella Policy
2219,    * Center for Technology and Systems Management,"University of Maryland, College Park",MD,,"2,3",,0,0,1996,,,,,,
2220,    * Center for the Advancement of Genomics,J. Craig Venter Science Foundation,MD,,2,,1,0,2002,,,,,,
2221,    * Center for the Treatment and Prevention of Suicide,University of Pennsylvania,PA,,2,,1,0,,,,,,,
2222,    * Center for Transcultural Studies,,IL,,2,,1,0,1973,,,,,,
2223,    * Center for Urban Policy Research,Rutgers University,NY,,2,,1,0,1969,,,,,,
2224,    * Center on Nanotechnology and Society,Illinois Institute of Technology,IL,,2,,1,2,,,,,,,
2225,    * Center on Organizational Innovation,Columbia University,NY,,2,,1,0,2000,,,,,,
2226,    * Charles Phelps Taft Research Center,University of Cincinnatti,OH,,"2,3",,0,0,1930,,,,,,
2227,    * Charlotte Research Institute,University of North Carolina at Charlotte,NC,,"2,3",,0,0,1998,,,,,,
2228,    * Clark Art Institute,,MA,,,,1,0,1955,,,,,,
2229,    * Clay Mathematics Institute,,MA,,2,,1,0,1998,,,,,,
2230,    * Cleveland FES Center,"Department of Veteran Affairs, MetroHealth Medical Center, Case Western Reserve University",OH,,2,,1,0,1991,,,,,,
2231,    * CNMAT,"University of California, Berkeley",CA,,"2,3",,0,0,1980,,,,,,
2232,    * Coastal Waters Laboratory,San Diego State University,CA,,"2,3",,0,0,,,,,,,
2253,    * Dana–Farber Cancer Institute,National Cancer Institute,MA,,"2,3",,"1,0",0,1947,,,,,,
2254,    * Dibner Institute for the History of Science and Technology,defunct,,,,,,,,,,,,,
2255,"    * Division of Global Affairs, Rutgers University – Newark",Rutgers University,NJ,,"2,3",,0,0,1995,,,,,,
2256,    * Ear Research Foundation,Silverstein Institute,FL,,2,,1,0,1979,,,,,,
2258,    * Eastern Regional Research Center,Agricultural Research Service,PA,,"2,3",,0,0,1938,,,,,,
2259,    * Edwin O. Reischauer Center for East Asian Studies,John Hopkins University,,,,,,,,,,,,,
2260,    * Edwin O. Reischauer Institute of Japanese Studies,Harvard University,MA,,2,,1,0,1973,,,,,,
2261,    * Electric Power Research Institute,,CA,,2,,1,1,,,,,,http://mydocs.epri.com/docs/CorporateDocuments/Governance/BOD-ConflictofInterest.pdf,
2262,    * Electronic Visualization Laboratory,University of Illinois,IL,,2,,1,0,1973,,,,,,
2263,    * EMDR Institute,,CA,,1,,1,0,1990,,,,,,
2264,    * Emory Brand Institute,Emory University,GA,,"1,2",,1,0,2004,,,,,,
2265,    * Energy Biosciences Institute,"University of California, Berkeley; Lawrence Berkeley National Laboratory, University of Illinois at Urbana-Champaign",CA,,2,,1,0,2007,,,,,,
2266,    * Enrico Fermi Institute,University of Chicago,IL,,2,,1,0,1945,,,,,,
2267,    * Environmental Research Institute of Michigan,Altarum Institute,MI,,2,,1,0,1972,,,,,,
2268,    * Eppley Institute for Research in Cancer and Allied Diseases,University of Nebraska Medical Center,NE,,"2,3",,0,0,1963,,,,,,
2054,    * Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),NIH,,1,2,,,,,,,,,http://grants1.nih.gov/grants/policy/coi/index.htm,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2269,    * Eyring Research Institute,,UT,,2,,1,0,1972,,,,,,
2270,    * Fairbank Center for Chinese Studies,Harvard University,MA,,2,,1,0,1955,,,,,,
2271,    * Florida Environmental Research Institute,,FL,,2,,1,2,1998,,,,,,
2272,    * Florida Institute for Human and Machine Cognition,,FL,,2,,1,2,1990,,,,,,
2273,    * Florida Solar Energy Center,University of Central FLorida,FL,,"2,3",,0,0,1975,,,,,,
2274,    * Florida Space Research Institute,,FL,,"2,3",,0,2,1999,,,,,,
2275,    * Fox Chase Cancer Center,National Cancer Institute,PA,,"2,3",,0,0,1904,,,,,,
2276,    * Franke Institute for the Humanities,University of Chicago,IL,,2,,1,2,1990,,,,,,
2277,    * Franklin Humanities Institute,Duke University,NC,,2,,1,0,1999,,,,,,
2278,    * Fred Hutchinson Cancer Research Center,,WA,,2,,1,1,1975,,,,,http://www.fhcrc.org/patient/treatment/patientprotection/ppoc_report_2002.pdf,
2279,    * Friday Harbor Laboratories,University of Washington,WA,,"2,3",,0,2,1904,,,,,,
2280,    * Frontier Organic Research Farm Botanical Garden,,IA,,2,,1,,,,,,,,
2281,    * Galveston National Laboratory,National Institutes of Health,TX,,"2,3",,0,0,2008,,,,,,
2282,    * Gemological Institute of America,,CA,,"1,2",,1,0,1931,,,,,,
2283,    * General Electric EdgeLab,"General Electric, University of Connecticut",CT,,"2,3",,"1,0",0,2000,,,,,,
2284,    * Genomics Institute of the Novartis Research Foundation,Novartis Foundation,CA,,2,,1,0,1999,,,,,,
2286,    * Georgia Tech Research Institute,Georgia Institute of Technology,GA,,"2,3",,0,2,1934,,,,,,
2287,    * Getty Research Institute,Getty Center,CA,,2,,1,0,1985,,,,,,
2288,    * Glenn Research Center,NASA,OH,,"2,3",,0,1,1942,,,,,http://www.grc.nasa.gov/WWW/Organizations/ChiefCounsel/page2.htm,
2289,    * Global Development and Environment Institute,Tufts University,MA,,2,,1,2,1993,,,,,,
2290,    * Global Environment and Trade Study,Defunct,CT,,,,,,,,,,,,
2291,    * Guggenheim Aeronautical Laboratory,California Institute of Technology,CA,,2,,1,2,1926,,,,,,
2292,    * Guttmacher Institute,,"NY; Washington, D.C.",,2,,1,0,1977,,,,,,
2293,    * GVU Center at Georgia Tech,Georgia Institute of Technology,GA,,"2,3",,0,0,1992,,,,,,
2046,    * National Eye Institute (NEI),NIH,,1,2,,,,,,,,,http://www.nei.nih.gov/funding/datastudies.asp#6,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2047,"    * National Heart, Lung, and Blood Institute (NHLBI)",NIH,,1,2,,,,,,,,,http://www.nhlbi.nih.gov/funding/policies/coi-res.htm,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2048,    * National Human Genome Research Institute (NHGRI),NIH,,1,2,,,,,,,,,http://www.genome.gov/Pages/Research/Intramural/IRB/COI_GUIDE_MARCH_2008.pdf,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2051,    * National Institute of Allergy and Infectious Diseases (NIAID),NIH,,1,2,,,,,,,,,http://funding.niaid.nih.gov/researchfunding/qa/pages/ethics.aspx,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2052,    * National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),NIH,,1,2,,,,,,,,,http://www.google.com/url?sa=t&source=web&cd=1&sqi=2&ved=0CBYQFjAA&url=http%3A%2F%2Fwww.niams.nih.gov%2Ffunding%2Fclinical_research%2Fmoop_guidelines.doc&rct=j&q=NIAMS%20conflict%20of%20interest%20policy&ei=sCzjTdzsAZT2gAeVzaW7Bg&usg=AFQjCNEWtYjRMtCD0rXxzX9I3TQqwlAGlw&sig2=EAKxQOn3PJtmIAkRKro-ow&cad=rja,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2053,    * National Institute of Biomedical Imaging and Bioengineering (NIBIB),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2056,    * National Institute of Dental and Craniofacial Research (NIDCR),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2057,    * National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2059,    * National Institute of Environmental Health Sciences (NIEHS),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2060,    * National Institute of General Medical Sciences (NIGMS),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2061,    * National Institute of Mental Health (NIMH),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2063,    * National Institute of Neurological Disorders and Stroke (NINDS),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2064,    * National Institute of Nursing Research (NINR),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2049,    * National Institute on Aging (NIA),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2050,    * National Institute on Alcohol Abuse and Alcoholism (NIAAA),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2055,    * National Institute on Deafness and Other Communication Disorders (NIDCD),NIH,,1,2,,,,,,,,,http://grants1.nih.gov/grants/policy/coi/index.htm,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2058,    * National Institute on Drug Abuse (NIDA),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2062,    * National Institute on Minority Health and Health Disparities (NIMHD),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2065,    * National Library of Medicine (NLM),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2185,    * The Bonnie J. Addario a Breath Away from the Cure Foundation,,CA,,2,,1,0,2006,,,,,,
2202,    * The Center for Complex Quantum Systems,University of Texas at Austin,TX,,"2,3",,0,0,1967,,,,,,
2257,    * The Earth Institute,Columbia University,NY,,2,,1,0,1995,,,,,,
2285,    * The Geometry Center,Defunct,,,,,,,,,,,,,
2233,# Cold Spring Harbor Laboratory,,NY,,2,,1,,1890,,,,,,
2234,# Columbia Water Center,Columbia University,NY,,,,,,,,,,,,
2235,# Connecticut Agricultural Experiment Station,,CT,,"2,3",,0,1,1875,,,,,http://www.ct.gov/caes/cwp/view.asp?a=2812&q=390910&caesNav=|,
2236,# Contemporary History Institute,Ohio University,OH,,"2,3",,0,2,1987,,,,,,www.ohio.edu/research/compliance/
2237,# Controlled Environment Agriculture Center,University of Arizona,AZ,,"2,3",,0,2,,,,,,,
2238,# Cooperative Institute for Arctic Research,"NOAA, University of Alaska",AK,,"2,3",,0,2,2008,,,,,,www.uaf.edu/ori/responsible-conduct/conflict-of-interest/
2239,# Cooperative Institute for Atmospheric Sciences and Terrestrial Applications,"NOAA, OAR, DRI",,,,,0,,,,,,,,
2240,# Cooperative Institute for Climate and Ocean Research,,,,,,,,,,,,,,
2241,# Cooperative Institute for Climate Applications and Research,"NOAA, Columbia University",NY,,"2,3",,"1,0",0,2003,,,,,,
2242,# Cooperative Institute for Climate Science,"NOAA, Princeton University",NJ,,"2,3",,"1,0",0,2003,,,,,,
2243,# Cooperative Institute for Limnology and Ecosystems Research,"NOAA, various Michigan universities",MI,,"2,3",,"1,0",0,1989,,,,,,
2244,# Cooperative Institute for Marine and Atmospheric Studies,"University of Miami, NOAA",FL,,"2,3",,"1,0",0,1977,,,,,,
2245,# Cooperative Institute for Mesoscale Meteorological Studies,"NOAA, University of Oklahoma",OK,,"2,3",,"1,0",0,1978,,,,,,
2246,# Cooperative Institute for Meteorological Satellite Studies,"NOAA, NASA, UW- Madison",WI,,"2,3",,"1,0",0,,,,,,,
2247,# Cooperative Institute for Research in Environmental Sciences,"NOAA, University of Colorado at Boulder",CO,,"2,3",,"1,0",0,1967,,,,,,
2248,# Cooperative Institute for Research in the Atmosphere,"NOAA, Colorado State University",CO,,"2,3",,"1,0",0,1980,,,,,,
2249,# Cornell Lab of Ornithology,Cornell University,NY,,2,,1,0,1915,,,,,,
2250,# Cornell Laboratory for Accelerator-based Sciences and Education,Cornell University,NY,,2,,1,0,2006,,,,,,
2251,# Coulston Foundation,defunct,,,,,,,,,,,,,
2252,# Cowles Foundation,Yale University,CT,,2,,1,0,1932,,,,,,
1,A.T. Still University of Health Sciences ,,AZ/MO,,1,,1,0,1892,2000,53.6,,,,
2,Abilene Christian University ,,TX,,1,,1,1,1906,4728,238.2,,,www.acu.edu/campusoffices/hr/documents/handbook/Policy-Conflict_of_I.pdf,
3,Abraham Baldwin Agricultural College ,,GA,,1,,0,1,,,,,,http://www.abac.edu/foundation/Policies/Policies_and_Procedures_Manual.pdf,
4,Academy of Art University ,,CA,,1,,1,0,1929,17500,,,,,
5,Academy of Oriental Medicine at Austin ,,TX,,1,,1,0,,204,1993,,,,
6,Adams State College ,,CO,,1,,,1,,,,,,http://www.adams.edu/administration/hr/professional%20handbook%20conflict%20of%20interest%20policies5-04-07.pdf,
7,Adelphi University ,,NY,,,,,1,,,,,,http://administration.adelphi.edu/hr/pdfs/conflict.pdf,
8,Adler Graduate School ,,MN,,,,,,,,,,,,
9,Adler School of Professional Psychology ,,IL,,,,,,,,,,,,
10,Adrian College ,,MI,,,,1,1,,,,,,www.adrian.edu/employeedocs/POLICY-BOOKLET.doc,
2101,Agency for Healthcare Research and Quality ,,,1,2,,,,,,,,,,
11,Agnes Scott College ,,GA,,,,1,0,,,,,,,
2082,Agricultural Research Service ,,,1,2,,,,,,,,,http://www.google.com/url?sa=t&source=web&cd=1&ved=0CBsQFjAA&url=http%3A%2F%2Fwww.afm.ars.usda.gov%2Fagreements%2Ffiles%2FSEB-102.pdf&rct=j&q=agricultural%20research%20service%20conflict%20of%20interest&ei=ewvkTev8O4nHgAfHuuXEBg&usg=AFQjCNGAHonDoODHAPvE5pSs49w3lxHmJg&sig2=HKumjziibIx_2HdYZAed9Q&cad=rja,http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&tpl=/ecfrbrowse/Title05/5cfr2635_main_02.tpl
770,Aguadilla Campus,,OH,,,,,,,,,,,,
12,AIB College of Business ,,IA,,,,,,,,,,,,
13,Air Force Institute of Technology ,,OH,,,Graduate School of Engineering and Management,0,2,,,,,,,
14,Air University ,,AL,,,,0,2,,,,,,,
15,Alabama A&M University ,,AL,2,,"School of Agriculture and Environmental Sciences, School of Arts and Sciences, School of Business, School of Education, School of Engineering and Technology, and the Graduate School",0,1,1875,5700,30,??,0,http://www.aamu.edu/human_resources/docs/staff_handbook.pdf,
16,Alabama State University ,,AL,,,,0,2,,,,,,,
17,Alaska Bible College ,,AK,4,,,,,1966,,,,,,
18,Alaska Pacific University ,,AK,3,,,1,2,,,,,,,
1909,Albany,,NY,,,,,,,,29.5,,,,
19,Albany College of Pharmacy & Health Sciences ,,NY,,,,,,,,,,,,
20,Albany Medical College ,,NY,,,,,,,,,,,,
21,Albany State University ,,GA,,,,,,,,,,,,
22,Albertus Magnus College ,,CT,,,,1,1,,,,,,None available,
23,Albion College ,,MI,,,,1,1,,,,,,http://www.albion.edu/hr/for-employees/service-manual/250-conflict-of-interest-coi,
24,Albright College ,,PA,,,,1,1,,,,,,albright.edu/boardoftrustees/handbook/Bylaws.pdf,
25,Alcorn State University ,,MS,,,,0,1,,,,,,sacs.alcorn.edu/Sacs/forms/poa.aspx?id=24,
26,Alderson-Broaddus College ,,WV,,,,1,2,,,,,,,
27,Alfred University ,,NY,,,,1,1,,,,,,www.alfred.edu/provost/policies/,
28,Alice Lloyd College ,,KY,,1,,1,0,1923,595,24.5,,0,,
29,Allegheny College ,,PA,,,,1,1,1815,21000,157,,0,http://sitesmedia.s3.amazonaws.com/hr/files/2009/11/900nonexempt.pdf,
30,Allen College ,,IA,,1,"Associate/Bachelor of Science, Master of Science of Nursing, Doctor of Nursing Practice",1,0,1925,,,,,,
31,Allen University ,,SC,,,,1,0,1870,600,307322,,,,
32,Alliant International University ,,CA,,1,,1,1,1969,5125,,,,www.alliant.edu/.../Conflict%20of%20Interest%20Policy%20finalJune_09.pdf?,
33,Alma College ,,MI,,1,,,,1886,1400,79.7,,,http://www.alma.edu/about/BOT/responsibilities,
34,Alvernia University ,,PA,,1,,1,0,1958,2900,,,,,
35,Alverno College ,,WI,,1,,1,0,1887,2815,16.7,,,,
36,Ambassador University ,,TX,,,,,,,,,,,,
37,Amberton University ,,TX,,1,,1,0,1971,,,,,,
38,American Academy of Art ,,IL,,1,,1,0,1923,,,,,,
2112,American Academy of Pediatrics ,,,1,2,,,,,,,,,,
39,American College ,,PA,,1,,1,0,1927,30000,,,,,
40,American College of Education ,,IL,,1,,1,0,2005,,,,,,
41,American Conservatory Theater ,,CA,,1,,1,0,1965,,,,,,
2162,American Enterprise Institute for Public Policy Research ,,,1,2,,1,1,1938,,,,,http://www.aei.org/about,
42,American Film Institute ,,CA,,1,,1,0,1967,,,,,,
43,American Indian College of the Assemblies of God ,,AZ,,1,,1,0,1957,,,,,,
44,American InterContinental University ,,IL,,1,,1,1,1970,27043,,,,catalog.careered.com/catalogs/39/catalog.pdf ,
45,American International College ,,MA,,1,,1,0,1885,1723,,,,,
46,American Jewish University ,,CA,,1,,1,0,1947,12000,,,,,
47,American Military University ,,WV,,1,,1,0,1991,77000,,,,,
2110,American Museum of Natural History ,,,1,3,,,,,,,,,,
48,American Public University ,,WV,,1,,1,0,1991,77000,,,,,
49,American University ,,DC,4,,,1,1,,,,,,http://www1.american.edu/governance/docs/AU%20Conflict%20of%20Interest.pdf,
50,American University of Puerto Rico ,,PR,,1,,1,0,1963,2934,,,,,
2402,Ames Research Center,NASA,CA,,"2,3",,0,1,1939,,,,,http://www.nasa.gov/centers/ames/pdf/372013main_ATOM%20Selection%20Statement.pdf,
51,Amherst College ,,MA,,1,,1,1,,,,,,https://www.amherst.edu/offices/human_resources/employeehandbooks/trusteeappemphandbk_alpha/conflictofinterest/accip,
52,Amridge University ,,AL,,1,,1,0,1967,702,0.174,,,,
784,Anchorage,,OH,,,,,,,,,,,,
54,Anderson University ,,IN,,1,,1,1,1917,2565,27.9,,,www.anderson.edu/humres/ConflictInterest.pdf,
53,Anderson University ,,SC,,1,,1,0,1911,2500,,,,,
55,Andover Newton Theological School ,,MA,,1,,1,0,1807,350,,,,,
56,Andrews University ,,MI,,1,,1,1,1874,3420,26.3,,,www.andrews.edu/HR/documents/interestconflict.pdf,
57,Angelo State University ,,TX,,1,,0,1,1928,6856,96.8,,,www.angelo.edu/.../OP_06.22_Standard_of_Conduct_and_Conflict_of_Interest.pdf,
58,Anna Maria College ,,MA,,1,,1,0,1946,1333,,,,,
59,Antillean Adventist University ,,PR,,1,,1,0,1957,,,,,,
60,Antioch College ,,OH,,1,,1,0,1850,,36.2,,,,
63,Antioch University–Los Angeles ,,CA,,1,,1,0,1988,912,,,,,
61,Antioch University–Midwest ,,OH,,1,,1,0,1988,912,,,,,
62,Antioch University–New England ,,NH,,1,,1,0,1988,912,,,,,
64,Antioch University–Santa Barbara ,,CA,,1,,1,0,1988,912,,,,,
65,Antioch University–Seattle ,,WA,,1,,1,0,1988,912,,,,,
66,Appalachian Bible College ,,WV,,1,,1,0,1950,950,,,,,
67,Appalachian State University ,,NC,,1,,0,1,1899,17222,56.1,,,resourcemanual.appstate.edu/wiki/AdministrativePolicyNineteen ,
68,Aquinas College ,,MI,,1,,1,1,1886,2159,20.2,,,www.aquinas.edu/trustees/by_laws.html,
69,Aquinas College ,,TN,,1,,1,1,1886,2159,20.2,,,www.aquinas.edu/trustees/by_laws.html,
70,Aquinas Institute of Theology ,,MO,,1,,1,0,1939,,,,,,
71,Arcadia University ,,PA,,1,,1,0,1853,4020,49.1,,,,
770,Arecibo Campus,,OH,,,,,,,,,,,,
2086,Argonne National Laboratory ,,,1,2,,,,,,,,,http://www.google.com/url?sa=t&source=web&cd=1&ved=0CBoQFjAA&url=http%3A%2F%2Fwww.anl.gov%2FPRO%2FGeneral%2520Information%2Fwebforms%2Fanl404.doc&rct=j&q=Argonne%20National%20Laboratory%20%20conflict%20of%20interest&ei=kwzkTbyAJoXJgQef97itBg&usg=AFQjCNFMTxVN2vXPmy1mxlW08pXyGFqLtA&sig2=OQy7Yo87PuP4PYOCAjeYnw&cad=rja,
72,Argosy University ,,IL,,1,,1,1,1970,18461,,,,http://www.argosy.edu/locations/los-angeles-inland-empire/handbook.pdf,
73,Arizona State University ,,AZ,1,,"Arts and Sciences, Business, Design and the Arts, Education, Engineering, Graduate, Journalism, Law, Nursing and Health",0,1,1885,70440,441,1895523.5,0,http://www.asu.edu/counsel/brief/conflict_interest.html,
74,Arizona State University–Downtown Phoenix Campus ,,AZ,2,,,,,,,,,,,
76,Arizona State University–West Campus ,,AZ,1,,,,,,,,,,,
75,Arizona State–Polytechnic Campus ,,AZ,1,,,,,,,,,,,
77,Arkansas Baptist College ,,AR,,,,,,,,,,,,
78,Arkansas State University ,,AR,1,,"College of Agriculture & Technology, College of Business, College of Communications, College of Education, College of Engineering, College of Fine Arts, College of Humanities and Social Sciences, College of Nursing and health Professions, College of Sciences and Mathematics, Graduate School, Honors College, University College",1,1,1809,21406,31,212115148,2,http://chancellor.astate.edu/shared_governance/documents/COIProposal.pdf,
79,Arkansas Tech University ,,AR,,,,0,1,,,,,,http://www.atu.edu/academics/fhandbk/Entire_Handbook.pdf,
80,Arlington Baptist College ,,TX,4,1,,1,0,1939,,,,,,
81,Armstrong Atlantic State University ,,GA,3,1,,0,1,1935,7538,7.9,,,www.armstrong.edu/images/.../Fiscal%20Misconduct%20Policy_082610.pdf,
82,Art Academy of Cincinnati ,,OH,3,1,,1,0,1869,193,,,,,
83,Art Center College of Design ,,CA,3,1,,1,0,1482,,,,,,
84,Art Center Design College ,,AZ,3,1,,1,0,1983,,,,,,
85,Art Institute of Atlanta ,,GA,3,1,,1,0,1949,3335,,,,,
86,Art Institute of Colorado ,,CO,3,1,,1,0,,,,,,,
87,Art Institute of Dallas ,,TX,3,1,,1,0,1952,2100,,,,,
88,Art Institute of Houston ,,TX,3,1,,1,0,2008,,,,,,
89,Art Institute of Pittsburgh ,,PA,3,1,,1,0,1921,6200,,,,,
90,Art Institute of Portland ,,OR,3,,,,,,,,,,,
91,Art Institute of Seattle ,,WA,4,1,"Bachelor of Fine Arts, Bachelor of Science",,,,,,,,,
92,Asbury Theological Seminary ,,KY,3,1,,1,,1923,1200,114.8,,,,
93,Asbury University ,,KY,3,,,1,1,1890,1613,27.6,,,,
94,Ashford University ,,IA,3,1,,1,0,1918,71000,,,,,
95,Ashland University ,,OH,3,1,,1,1,1868,6500,,,,www.ashland.edu/node/13720,
96,Assemblies of God Theological Seminary ,,MO,4,1,Seminary,1,0,1972,474,,,,,
